item_id,item_image,item_name
8003437630750,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/GEP46_L_P_8003437630750_1.png", מיקסר
8003437630774,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/GFN52_L_P_8003437630774_1.png", מיקסר
8003437630811,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/GGY44_L_P_8003437630811_1.png", מיקסר
8003437630835,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/GHW50_L_P_8003437630835_1.png", מיקסר
661176010141,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DWW34_L_P_661176010141_1.png",5M צבע לשיער נטורטינט
8016744806640,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FPX54_L_P_8016744806640_1.png",5N צבע לשיער הרבטינט
661176010035,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DSU36_L_P_661176010035_1.png",5N צבע לשיער נטורטינט
8016744806794,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FVV64_L_P_8016744806794_1.png",5Rצבע לשיער הרבטינט
85805390600,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/MDT44_L_P_85805390600_1.png",5th avenue א.ד.פ לאשה
7296073700272,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XIF52_L_P_7296073700272_1.png",מארז 5 סטים של סננים לברי מים ספיריט
7296073700272,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XIF52_L_P_7296073700272_1.png",מארז 5 סטים של סננים לברי מים ספיריט
7296073700272,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XIF52_L_P_7296073700272_1.png",מארז 5 סטים של סננים לברי מים ספיריט
7296073700272,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XIF52_L_P_7296073700272_1.png",מארז 5 סטים של סננים לברי מים ספיריט
7296073700289,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XIW60_L_P_7296073700289_1.png",מארז 5 סטים של סננים לברי מים לוטוס
7296073700289,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XIW60_L_P_7296073700289_1.png",מארז 5 סטים של סננים לברי מים לוטוס
7296073700289,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XIW60_L_P_7296073700289_1.png",מארז 5 סטים של סננים לברי מים לוטוס
7296073700289,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XIW60_L_P_7296073700289_1.png",מארז 5 סטים של סננים לברי מים לוטוס
661176016150,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/MTZ40_L_P_661176016150_1.png",6.31 צבע לשיער נטורטינט
661176016167,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/MUQ48_L_P_661176016167_1.png",6.35 צבע לשיער נטורטינט
7290114786126,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XOP54_L_P_7290114786126_1.png",פח סנסור חשמלי 60 ליטר לבן
7290114786102,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XNR48_L_P_7290114786102_1.png",פח סנסור חשמלי 60 ליטר נירוסטה
7290114786119,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XOI56_L_P_7290114786119_1.png",פח סנסור חשמלי 60 ליטר שחור
5999108436017,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/MHU62_L_P_5999108436017_1.png",סט סכינים וקרש
8016744806725,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FTE58_L_P_8016744806725_1.png",6D צבע לשיער הרבטינט
661176010103,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DVK32_L_P_661176010103_1.png",6G צבע לשיער נטורטינט
8016744806657,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FQO62_L_P_8016744806657_1.png",6N צבע לשיער הרבטינט
661176010042,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DTB34_L_P_661176010042_1.png",6N צבע לשיער נטורטינט
661176011148,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FJP42_L_P_661176011148_1.png",7.7 צבע לשיער נטורטינט
7610458007150,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/EAX44_L_P_7610458007150_1.png",715 S 39מברשת שיניים רכה
1232442317883,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/WLW48_L_P_1232442317883_1.png",78U קומקום
8016744806732,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FTL56_L_P_8016744806732_1.png",7D צבע לשיער הרבטינט
661176010110,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DVR30_L_P_661176010110_1.png",7G צבע לשיער נטורטינט
8016744806664,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FQV60_L_P_8016744806664_1.png",7N צבע לשיער הרבטינט
661176010059,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DTS42_L_P_661176010059_1.png",7N צבע לשיער נטורטינט
